P1x,P1y,P1z,P1VzX,P1VzY,P1VzZ,P1VxX,P1VxY,P1VxZ,P2x,P2y,P2z,P2VzX,P2VzY,P2VzZ,P2VxX,P2VxY,P2VxZ,DistanceBeyondEndOfJointOnFloor,DistanceBeyondEndOfJointOnWall,DistanceBeyondStartOfJointOnFloor,DistanceBeyondStartOfJointOnWall,JointCeilingEndHeight,JointCeilingStartHeight,JointEnclosureEndHeight,JointEnclosureStartHeight,JointEnclosureFrontAngle,JointFloorWidth,JointWallHeight,WallFloorApertureAngle,WeldLength,WeldEnclosureStart,WeldEnclosureStop,RailPosition,Score
653.05,-49.7999992371,133.35,-0.65257002952395982,-0.17485561241569889,0.737277336810124,-0.71215522076252269,-0.19082141628892574,-0.67559020761566024,653.05,49.2999992371,133.35,-0.65257002952395982,-0.17485561241569889,0.737277336810124,-0.71215522076252269,-0.19082141628892574,-0.67559020761566024,22.225000762900002,0,22.225000762900002,0,999999,999999,0,0,11.04,499.86666666666667,50.799999237060177,90,101.5999984742,Open,Open,2471.6178199434216,2471.6178199434216
661.4,49.7999992371,133.35,0.65257002952395982,0.17485561241569891,0.737277336810124,0.71215522076252269,0.19082141628892582,-0.67559020761566024,661.4,-49.2999992371,133.35,0.65257002952395982,0.17485561241569891,0.737277336810124,0.71215522076252269,0.19082141628892582,-0.67559020761566024,22.225000762900002,0,22.225000762900002,0,999999,999999,0,0,19.98,499.86666666666667,50.799999237060177,90,101.5999984742,Open,Open,3023.84666443658,3023.84666443658
798.6001273648,-49.4587334495,133.35,-0.7121552207625228,-0.1908214162889259,0.67559020761566024,-0.65257002952395982,-0.1748556124156988,-0.73727733681012408,798.6001273648,48.1412650246,133.35,-0.7121552207625228,-0.1908214162889259,0.67559020761566024,-0.65257002952395982,-0.1748556124156988,-0.73727733681012408,21.883734975400003,0,22.566266550500004,1.4210854715202004E-14,999999,999999,0,0,19.98,499.86666666666667,50.799999237060177,90,101.5999984741,Open,Open,2568.4871139748866,2568.4871139748866
817.4751273648,50.1412650246,133.35,0.7121552207625228,0.1908214162889259,0.67559020761566024,0.65257002952395982,0.17485561241569889,-0.73727733681012408,817.4751273648,-47.4587334495,133.35,0.7121552207625228,0.1908214162889259,0.67559020761566024,0.65257002952395982,0.17485561241569889,-0.73727733681012408,22.566266550500004,0,21.883734975400003,0,999999,999999,0,0,11.45,499.86666666666667,50.799999237060177,90,101.5999984741,Open,Open,3178.6026251347107,3178.6026251347107
1065.3001273648,-49.4587334495,133.35,-0.7121552207625228,-0.1908214162889259,0.67559020761566024,-0.65257002952395982,-0.1748556124156988,-0.73727733681012408,1065.3001273648,48.1412650246,133.35,-0.7121552207625228,-0.1908214162889259,0.67559020761566024,-0.65257002952395982,-0.1748556124156988,-0.73727733681012408,21.883734975400003,0,22.566266550500004,1.4210854715202004E-14,999999,999999,0,0,11.45,499.86666666666656,50.799999237060121,90,101.5999984741,Open,Open,2835.1871139748864,2835.1871139748864
1084.1751273648,50.1412650246,133.35,0.7121552207625228,0.1908214162889259,0.67559020761566024,0.65257002952395982,0.17485561241569889,-0.73727733681012408,1084.1751273648,-47.4587334495,133.35,0.7121552207625228,0.1908214162889259,0.67559020761566024,0.65257002952395982,0.17485561241569889,-0.73727733681012408,22.566266550500004,0,21.883734975400003,0,999999,999999,0,0,11.19,428.62487263519984,50.799999237060121,90,101.5999984741,Open,Open,3445.302625134711,3445.302625134711
1338.453125,70.525,133.35,-0.65257002952395982,0.17485561241569889,0.737277336810124,-0.71215522076252269,0.19082141628892574,-0.67559020761566024,1338.453125,-71.025,133.35,-0.65257002952395982,0.17485561241569889,0.737277336810124,-0.71215522076252269,0.19082141628892574,-0.67559020761566024,0,22.224999999999994,0,22.22499999999998,999999,999999,0,0,11.19,499.86666666666656,50.799999999999528,90,146.05,Open,Open,3152.3859449434221,3152.3859449434221
1341.953125,74.025,-133.35,-0.17485561241569875,0.65257002952395993,0.737277336810124,-0.1908214162889256,0.7121552207625228,-0.67559020761566024,1388.253125,74.025,-133.35,-0.17485561241569875,0.65257002952395993,0.737277336810124,-0.1908214162889256,0.7121552207625228,-0.67559020761566024,0,121.046875,0,125,266.69999999999948,266.69999999999948,0,0,0,22.225000000000023,266.69999999999993,90,50.799999999999955,Open,Open,3085.4818415124473,3085.4818415124473
1387.753125,-74.025,-133.35,0.17485561241569877,-0.65257002952395982,0.737277336810124,0.19082141628892568,-0.71215522076252269,-0.67559020761566024,1341.453125,-74.025,-133.35,0.17485561241569877,-0.65257002952395982,0.737277336810124,0.19082141628892568,-0.71215522076252269,-0.67559020761566024,0,125,0,121.046875,266.69999999999948,266.69999999999948,0,0,0,22.224999999999994,9.525,90,50.799999999999955,Open,Open,3388.8335242869434,3388.8335242869434
1391.753125,-69.525,133.35,0.7121552207625228,-0.1908214162889259,0.67559020761566024,0.65257002952395982,-0.17485561241569889,-0.73727733681012408,1391.753125,69.025,133.35,0.7121552207625228,-0.1908214162889259,0.67559020761566024,0.65257002952395982,-0.17485561241569889,-0.73727733681012408,0,22.224999999999994,0,22.22499999999998,999999,999999,0,0,17.47,121.04687499999977,7.9374999999995168,90,146.05,Open,Open,3757.0394561032463,3757.0394561032463
